entity_type,name_ukr,name_local,name_eng,common_abbreviation,country,collaboration_type,domain,russian_money,observer_border_violation,prorussian_statements,wiki_or_website,photo_link,regrets,short_description,description
людина,Альдо Каркачі,Aldo Carcaci,,,Бельгія,політик,політика,,https://www.fakeobservers.org/biased-observation-database/details/carcaci-aldo.html,https://rian.com.ua/russia/20160724/1013674620.html,https://fr.wikipedia.org/wiki/Aldo_Carcaci,,,екс-член парламенту Бельгії,
людина,Андре Шорохофф,André Schorochoff ,,,Бельгія,любителі,громадська,,,https://rusoch.fr/ru/events/solidarnost-s-rossiej-v-chas-ukrainskoj-tragedii.html,https://www.facebook.com/schorochoff.andre,,,підписант листа на підтримку Путіна в 2014 році,
людина,Аркадій Аріанофф,Аркадий Арианофф,Arkady Arianoff,,Бельгія,прагматик,бізнес,,,,https://www.facebook.com/arkady.arianoff,,,генеральний менеджер Бельгійсько-Люксембурзької Торгової Палати по Росії та Білорусі,
організація,"Бельгійська російськомовна Асоціація ""Гармонія""",Бельгийская русскоязычная Ассоциация Гармония,"Belgian Russian-speaking Association ""Harmony""",,Бельгія,любителі,культура,,,,http://www.airbeharmonie.be/,,,освітня організація,
людина,Володимир Козирефф,Vladimir Kozyreff ,,,Бельгія,любителі,громадська,,,https://rusoch.fr/ru/events/solidarnost-s-rossiej-v-chas-ukrainskoj-tragedii.html,https://prabook.com/web/vladimir_nikolaevitch.kozyreff/3435126,,,підписант листа на підтримку Путіна в 2014 році,
людина,Герольф Аннеманс,Gerolf Annemans,,,Бельгія,політик,політика,,,,https://nl.wikipedia.org/wiki/Gerolf_Annemans,,,член Європарламенту,
людина,Гюнтер Гублом,Gunter Gaublomme,,,Бельгія,прагматик,експерт,https://gorchakovfund.ru/portal/news/view/8584d6b6-d548-442d-99fd-4cfa352800c9,,,https://brusselsdiplomaticacademy.eu/academics/gunter-gaublomme/,,,директор Брюссельської дипломатичної академії,
людина,Дені Дюкарм,Denis Ducarme,,,Бельгія,політик,політика,http://www.polukr.net/blog/2016/07/polscy-senatorowie-separatyzm-w-odessie-wszystkie-drogi-prowadza-moskwy/,http://ukranews.com/news/392018-nablyudately-yz-zapadnoy-evropy-razoblachyly-schemu-skupky-golosov-v-polzu-fylatova-na-vyborakh-mehra-dnepropetrovska-smy,,https://nl.wikipedia.org/wiki/Denis_Ducarme,,,член парламенту Бельгії,
людина,Джеймс Вілсон,,James Wilson,,Бельгія,прагматик,медіа,https://www.politico.eu/article/brussels-lobbying-connections-transparency/,,https://www.eupoliticalreport.eu/the-impact-of-russias-invasion-of-ukraine-on-world-food-security/,https://www.linkedin.com/in/james-wilson-614339a8/,,1,"колишній керівник Kyiv Brussels Network, видавець EU Report",
людина,Джована Майсторович,Giovanna Maistorovic,,,Бельгія,любителі,громадська,https://gorchakovfund.com/news/view/fond-gorchakova-vystupil-partnerom-startovavshego-bryusselskogo-dialoga/,,,https://ruscentre.be/forums/dzhovana-maistorovich.html,,,член Правління Європейського молодіжного форуму,
