mother,stepdaughter,category_for_map,,name,place,,country,address,Latitude,Longitude
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Віденсько-Австрійська єпархія,Свято-Микоївський кафедральний собор,Відень,https://austria-diocese.com/,Австрія,"Jaurèsgasse 2, 1030 Wien, Австрія",48.1974525,16.3850621
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Віденсько-Австрійська єпархія,Храм святого Архістратига Божого Михайла,Лаа ан дер Тайя,https://austria-diocese.com/,Австрія,"Ruhhofstraße 93, Laa a. d. Thaya, 2136, Austria",48.73323,16.3993706
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Віденсько-Австрійська єпархія,Російська православна парафія Покрова Пресвятої Богородиці,Грац,https://austria-diocese.com/,Австрія,"Griesplatz 30, 8020 Graz",47.0660649,15.431063
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Віденсько-Австрійська єпархія,Парафія св. новомучеників та сповідників руських,Лінц,https://austria-diocese.com/,Австрія,"Biberweg 30, Pichling, Linz",48.2494948,14.3658988
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Віденсько-Австрійська єпархія,Храм Покрова Пресвятої Богородиці,Зальцбург,https://austria-diocese.com/,Австрія,"Christian-Doppler-Strasse 3a, A-5020 Salzburg",47.8098617,13.034686
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),,Представництво РПЦ при європейських міжнародних організаціях,Брюссель,http://orthodoxru.eu/,Бельгія,"Rue Leon Lepage 35, 1000 Bruxelles, Belgium",50.8521459,4.345397999999999
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Брюсельсько-Бельгійська єпархія,Свято-Микільський кафедральний храм,Брюссель,https://www.archiepiskopia.be/,Бельгія,"Rue des Chevaliers 29, B-1050 Bruxelles",50.8360313,4.3597603
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Брюсельсько-Бельгійська єпархія,Храм Різдва Христового,Антверпен,https://www.archiepiskopia.be/,Бельгія,"Loosplaats 2 (St.-Jozefkerk), B-2018 Antwerpen",51.2096902,4.4184614
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Брюсельсько-Бельгійська єпархія,Храм Святої Живоначальної Трійці,Брюссель,https://www.archiepiskopia.be/,Бельгія,"Rue Leon Lepage 35
B-1000 Bruxelles",50.8521459,4.345397999999999
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Брюсельсько-Бельгійська єпархія,Храм Покрови Пресвятої Богородиці,Брюссель,https://www.archiepiskopia.be/,Бельгія,"Rue Leon Lepage 33, 1000 Bruxelles",50.8520809,4.34537
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Брюсельсько-Бельгійська єпархія,Храм святої праведної Анни,Брюссель,https://www.archiepiskopia.be/,Бельгія,"Eglise Ste. Anne, Avenue des Trembles, 1020 Bruxelles (Laeken)",50.8887863,4.3494618
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Брюсельсько-Бельгійська єпархія,Парафія св. Апостола та євангеліста Матвія,Левен,https://www.archiepiskopia.be/,Бельгія,"Tervuursestraat, 56, Bruxelles",50.8783787,4.6876628
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Брюсельсько-Бельгійська єпархія,Храм Воздвиження чесного та життєдайного Хреста,Легліз,https://www.archiepiskopia.be/,Бельгія,"Rue de Luxembourg 76,
B-6860 Léglise",49.8006582,5.532817
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Брюсельсько-Бельгійська єпархія,"Храм ікони Божої Матері ""Живоносне Джерело""",Льєж,https://www.archiepiskopia.be/,Бельгія,"Rue Ferrer 73,
B-4100 Seraing (Liège)",50.60921459999999,5.5087703
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Брюсельсько-Бельгійська єпархія,Університетська православна каплиця,Лувен-ля-Ньов,https://www.archiepiskopia.be/,Бельгія,"ruelle Saint-Eloi 2,
1348 Louvain-la-Neuve",50.6680745,4.6175228
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Брюсельсько-Бельгійська єпархія,Парафія святого Богоявлення (Хрещення Господнього),Мехелен,https://www.archiepiskopia.be/,Бельгія,"Frederik de Merodestraat 18,
B-2800 Mechelen",51.02938330000001,4.4813429
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Брюсельсько-Бельгійська єпархія,Храм св. Архістратига Божого Михайла,Монс,https://www.archiepiskopia.be/,Бельгія,"Place des Martyrs 11 bis,
B-7000 Mons",50.44927329999999,3.9501352
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Брюсельсько-Бельгійська єпархія,Парафія преподобного Серафима Саровського,Намюр,https://www.archiepiskopia.be/,Бельгія,"Avenue de la Vecquée 9,
B-5000 Namur",50.4483231,4.8502942
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Брюсельсько-Бельгійська єпархія,Парафія св. Апостола Іоанна Богослова,Остенде,https://www.archiepiskopia.be/,Бельгія,"Sint-Catharinaplein 23
8400 - Oostende",51.2164528,2.9050547
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Брюсельсько-Бельгійська єпархія,"Монастир ікони Божої Матері ""Всіх скорботних Радість""",Первейзе,https://www.archiepiskopia.be/,Бельгія,"Roesdammestraat 1,
B-8600 Pervijze (Diksmuide)",51.06633309999999,2.733803
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Брюсельсько-Бельгійська єпархія,Монастир Іверської ікони Божої Матері,Трезін'ї,https://www.archiepiskopia.be/,Бельгія,"Rue du Caillou 3,
B-6183 Trazegnies",50.4623183,4.3331785
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Брюсельсько-Бельгійська єпархія,Храм Святої Трійці,Шарлеруа,https://www.archiepiskopia.be/,Бельгія,"Chaussee de Charleroi 436,
B-6080 Montigny-sur-Sambre",50.40356370000001,4.455312699999999
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Брюсельсько-Бельгійська єпархія,Каплиця Благовіщення Пресвятої Богородиці,Турне,https://www.archiepiskopia.be/,Бельгія,"Rue Albert 33,
B-7540 Kain",50.6251796,3.3903474
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Брюсельсько-Бельгійська єпархія,Храм Різдва Пресвятої Богородиці,Кортрейк,https://www.archiepiskopia.be/,Бельгія,"Hoog Mosscher 61-76,
Kortrijk",50.8165337,3.2574395
Руська православна церква (Московський патріархат),РПЦ за кордоном,РПЦ за кордоном,Великобританська і Західно-Європейська єпархія РПЦЗ,Храм св. прав. Йова Багатостраждального,Брюссель,https://orthodox-europe.org,Бельгія,"8, avenue du Manoir, (avenue de Fré)
B–1180 Bruxelles, Belgique",50.8031391,4.3445944
Руська православна церква (Московський патріархат),РПЦ за кордоном,РПЦ за кордоном,Великобританська і Західно-Європейська єпархія РПЦЗ,Церква Воскресіння Христового,Брюссель,https://orthodox-europe.org,Бельгія,"42, rue des Drapiers
B–1050 Bruxelles, Belgique",50.8349716,4.3597907
