entity_type,name_ukr,name_local,name_eng,common_abbreviation,country,collaboration_type,domain,ru_world_partners,political_affiliation,ideological_platform,russian_money,observer_border_violation,prorussian_statements,wiki_or_website,photo_link,regrets,short_description
людина,Олександр Ван дер Беллен,Alexander Van der Bellen,Alexander Van der Bellen,,Austria,політик,polytics,,GRÜNE,center,,,https://exxpress.at/buch-belegt-van-der-bellen-fuehlte-sich-auf-der-seite-der-putin-versteher/,https://de.wikipedia.org/wiki/Alexander_Van_der_Bellen,,,Federal president of Austria
людина,Пітер Гаувейлер,Peter Gauweiler,Peter Gauweiler,,Germany,політик,polytics,,CSU,center,,,https://www.welt.de/politik/deutschland/article125984905/Was-die-Putin-Versteher-in-Deutschland-antreibt.html,https://de.wikipedia.org/wiki/Peter_Gauweiler,,,"lawyer, former conservative politician"
людина,Герхард Шредер,Gerhard Schröder,Gerhard Schröder,,Germany,політик,polytics,,SPD,center,https://www.dw.com/ru/%D0%B3%D0%B5%D1%80%D0%BC%D0%B0%D0%BD%D0%B8%D1%8F-%D0%BD%D0%B5-%D0%B1%D0%B5%D0%B7-%D0%B8%D0%B7%D1%8A%D1%8F%D0%BD%D0%B0-%D0%BA%D0%BE%D1%80%D1%80%D1%83%D0%BF%D1%86%D0%B8%D1%8F-%D0%B2-%D0%BD%D0%B5%D0%BC%D0%B5%D1%86%D0%BA%D0%BE%D0%B9-%D0%BF%D0%BE%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%D0%B5/a-16001898,,https://web.archive.org/web/20181115030917/https://www.obozrevatel.com/ukr/abroad/eks-kantsler-nimechchini-potrapiv-do-bazi-mirotvortsya-u-frn-visunuli-vimogi-kievu.htm ,https://de.wikipedia.org/wiki/Gerhard_Schr%C3%B6der,,,chairman of the shareholder committee of Nord Stream AG
людина,Маттіас Платцек,Matthias Platzeck,Matthias Platzeck,,Germany,політик,polytics,,SPD,center,,,https://russian.rt.com/article/60292,https://de.wikipedia.org/wiki/Matthias_Platzeck,,1,"ex-chairman of the German Parliament, ex-chairman of the German-Russian Forum"
людина,Гюнтер Фергойген,Günter Verheugen,Günter Verheugen,,Germany,політик,polytics,,SPD,center,,,https://www.welt.de/politik/deutschland/article125984905/Was-die-Putin-Versteher-in-Deutschland-antreibt.html,https://de.wikipedia.org/wiki/G%C3%BCnter_Verheugen,,,ex-commissioner for EU enlargement
людина,Віллі Вілмер,Willy Wimmer,Willy Wimmer,,Germany,політик,polytics,,CDU,center,,,https://iz.ru/1357984/2022-07-01/eks-sotrudnik-minoborony-frg-vimmer-predpolozhil-chto-zelenskii-skhodit-s-uma,https://de.wikipedia.org/wiki/Willy_Wimmer,,,ex-state secretary of the Ministry of Defense of Germany
людина,Гернот Ерлер,Gernot Erler,Gernot Erler,,Germany,політик,polytics,,SPD,center,,,https://www.welt.de/politik/deutschland/article125984905/Was-die-Putin-Versteher-in-Deutschland-antreibt.html,https://de.wikipedia.org/wiki/Gernot_Erler,,,"ex-Federal Government Coordinator of Intersocial Cooperation with Russia, Central Asia and Eastern Partnership countries"
людина,Герман Вінклер,Hermann Winkler,Hermann Winkler,,Germany,політик,polytics,,CDU,center,,,https://www.euractiv.com/section/europe-s-east/news/european-parliament-adopts-tough-resolution-on-russia/,https://de.wikipedia.org/wiki/Hermann_Winkler_(Politiker),,,ex-member of the European Parliament
людина,Андреас Нік,Andreas Nick,Andreas Nick,,Germany,політик,polytics,,CDU,center,,,https://www.dw.com/ru/%D1%80%D0%BE%D1%81%D1%81%D0%B8%D1%8F-%D0%B4%D0%BE%D0%BB%D0%B6%D0%BD%D0%B0-%D0%BE%D1%81%D1%82%D0%B0%D0%B2%D0%B0%D1%82%D1%8C%D1%81%D1%8F-%D1%87%D0%BB%D0%B5%D0%BD%D0%BE%D0%BC-%D1%81%D0%BE%D0%B2%D0%B5%D1%82%D0%B0-%D0%B5%D0%B2%D1%80%D0%BE%D0%BF%D1%8B-%D1%81%D0%BE-%D0%B2%D1%81%D0%B5%D0%BC%D0%B8-%D0%BF%D1%80%D0%B0%D0%B2%D0%B0%D0%BC%D0%B8-%D0%B8-%D0%BE%D0%B1%D1%8F%D0%B7%D0%B0%D0%BD%D0%BD%D0%BE%D1%81%D1%82%D1%8F%D0%BC%D0%B8/a-48271393,https://de.wikipedia.org/wiki/Andreas_Nick_(Politiker),,,ex-member of the German parliament
людина,Крістіан Шмідт,Christian Schmidt,Christian Schmidt,,Germany,політик,polytics,,CSU,center,,,https://russian.rt.com/opinion/765157-rudalev-germaniya-deputat-rossiya-nato,https://en.wikipedia.org/wiki/Christian_Schmidt_(politician),,,ex-member of parliament of Germany
